mz	intensity	formula
289.082988	7038501	C14H14N2O5
290.0670113	6317479	C14H13NO6
290.0881482	18744755	C11H17NO8
291.0622733	4608301	C13H12N2O6
292.0826639	11345088	C14H15NO6
293.077905	13114434	C13H14N2O6
293.1142937	5869313	C14H18N2O5
294.0619433	11245159	C13H13NO7
294.0830633	15085171	C10H17NO9
294.0983204	9931728	C14H17NO6
295.057204	3679376	C12H12N2O7
295.0670762	7684246	C10H16O10
295.0935656	15817551	C13H16N2O6
296.0776025	23985519	C13H15NO7
296.0986943	5864827	C10H19NO9
297.0728225	9600232	C12H14N2O7
297.1092182	9479419	C13H18N2O6
298.0568333	15577516	C12H13NO8
298.0932352	34841024	C13H17NO7
299.0885056	18519004	C12H16N2O7
300.0724983	140715504	C12H15NO8
300.1088839	8713732	C13H19NO7
301.08299	4466361	C15H14N2O5
301.1041455	3664238	C12H18N2O7
302.0670175	3551428	C15H13NO6
302.0881354	87708877	C12H17NO8
303.0833822	11936135	C11H16N2O8
304.082679	6986642	C15H15NO6
304.1037913	7108167	C12H19NO8
305.1143106	6459475	C15H18N2O5
306.061918	5476239	C14H13NO7
306.08305	20984388	C11H17NO9
306.0983176	6477047	C15H17NO6
307.06708	5314617	C11H16O10
307.0935719	19914481	C14H16N2O6
308.0775905	21755445	C14H15NO7
308.098694	14807275	C11H19NO9
309.0615973	3984416	C14H14O8
309.0728167	7550331	C13H14N2O7
309.1092195	11510498	C14H18N2O6
310.0568267	5579275	C13H13NO8
310.0932373	16972317	C14H17NO7
311.0884994	12699309	C13H16N2O7
311.0983672	8046941	C11H20O10
312.0725017	11626632	C13H15NO8
312.1088847	7255535	C14H19NO7
313.1042094	9581855	C13H18N2O7
314.0881273	18414661	C13H17NO8
315.0833567	6540139	C12H16N2O8
315.0932782	9090586	C10H20O11
315.0986788	4579186	C16H16N2O5
316.067426	9942320	C12H15NO9
316.0826727	3950561	C16H15NO6
316.1038004	19708566	C13H19NO8
317.07789	5328636	C15H14N2O6
317.087809	4265729	C13H18O9
317.0990333	11332698	C12H18N2O8
317.1142974	6813452	C16H18N2O5
318.083061	57095019	C12H17NO9
318.0983228	4490780	C16H17NO6
319.093545	10481621	C15H16N2O6
320.0986915	233873808	C12H19NO9
321.07281	6322993	C14H14N2O7
321.1091975	17310528	C15H18N2O6
322.0779433	4180189	C11H17NO10
322.09323	19539171	C15H17NO7
322.114365	10676801	C12H21NO9
323.0884643	11365338	C14H16N2O7
324.07248	11187569	C14H15NO8
324.1088775	8694485	C15H19NO7
325.1041317	10758591	C14H18N2O7
326.0881493	12442441	C14H17NO8
327.08336	5719932	C13H16N2O8
328.0674	4666618	C13H15NO9
329.099064	7299032	C13H18N2O8
330.0830525	9242952	C13H17NO9
330.1194533	8078337	C14H21NO8
331.078205	4680374	C12H16N2O9
331.09352	6794599	C16H16N2O6
332.077573	5021727	C16H15NO7
332.0986743	10473169	C13H19NO9
333.0728233	4349653	C15H14N2O7
333.109206	8218678	C16H18N2O6
334.0779443	23525083	C12H17NO10
334.0932347	9585719	C16H17NO7
334.1143633	5722515	C13H21NO9
335.0884367	9620190	C15H16N2O7
336.07248	12275408	C15H15NO8
336.0935571	10220589	C12H19NO10
336.1088722	4575964	C16H19NO7
337.067715	10588180	C14H14N2O8
337.1041507	12479179	C15H18N2O7
338.0881505	13357401	C15H17NO8
338.1092367	35485365	C12H21NO10
339.0833575	5741882	C14H16N2O8
339.10447	4859200	C11H20N2O10
339.1197756	8897178	C15H20N2O7
340.1037838	7870064	C15H19NO8
341.09903	9398849	C14H18N2O8
342.08303	5795336	C14H17NO9
342.1194329	7775079	C15H21NO8
343.0935267	5676836	C17H16N2O6
344.0986833	17949409	C14H19NO9
345.1092213	7757464	C17H18N2O6
346.0932209	3394623	C17H17NO7
346.11434	6527557	C14H21NO9
347.0884625	6729187	C16H16N2O7
347.1248393	6114113	C17H20N2O6
348.0724667	3890897	C16H15NO8
348.0936033	5403691	C13H19NO10
348.129932	7414835	C14H23NO9
349.1040909	9788012	C16H18N2O7
350.088129	7073269	C16H17NO8
350.1092713	4261369	C13H21NO10
351.0833833	5717709	C15H16N2O8
352.1037671	7679906	C16H19NO8
353.09905	6596031	C15H18N2O8
353.135408	4181105	C16H22N2O7
354.0830533	4996391	C15H17NO9
354.1041467	4177195	C12H21NO11
354.1194172	4059779	C16H21NO8
355.1146642	5340985	C15H20N2O8
356.0986873	5221008	C15H19NO9
356.1197887	79198187	C12H23NO11
357.09387	3561952	C14H18N2O9
358.1143212	6634454	C15H21NO9
359.0884967	3526075	C17H16N2O7
359.10955	4523113	C14H20N2O9
359.1248477	5347094	C18H20N2O6
360.093575	11648925	C14H19NO10
362.109215	55371248	C14H21NO10
364.1037609	4245192	C17H19NO8
364.1248033	3538292	C14H23NO10
365.09901	8817104	C16H18N2O8
366.0829633	4917113	C16H17NO9
367.114635	7490845	C16H20N2O8
368.098676	4710409	C16H19NO9
368.1197508	9182560	C13H23NO11
369.0938633	3514436	C15H18N2O9
369.1303087	3688860	C16H22N2O8
370.1143433	4498894	C16H21NO9
371.109515	7171577	C15H20N2O9
373.10409	5430159	C18H18N2O7
373.14049	4248805	C19H22N2O6
374.1091767	4144037	C15H21NO10
375.1044725	8733620	C14H20N2O10
375.119729	11624031	C18H20N2O7
376.1248583	9771966	C15H23NO10
377.09895	5673921	C17H18N2O8
377.1353714	4388118	C18H22N2O7
379.1146325	7577868	C17H20N2O8
380.09859	4068607	C17H19NO9
381.09384	4221848	C16H18N2O9
381.1303182	4586733	C17H22N2O8
383.1095711	4039869	C16H20N2O9
387.1196633	5089327	C19H20N2O7
389.0988967	3645399	C18H18N2O8
391.11462	7055903	C18H20N2O8
392.1197633	3679040	C15H23NO11
395.1093633	3743051	C17H20N2O9
395.1306333	4909385	C14H24N2O11
403.11454	3737160	C19H20N2O8
404.1197867	3988334	C16H23NO11
407.10949	4047937	C18H20N2O9
408.1509733	5028548	C16H27NO11
409.1250975	5261645	C18H22N2O9
413.1411658	21936361	C14H26N2O12
417.1302217	4136146	C20H22N2O8
419.13064	3650109	C16H24N2O11
434.1302525	9456951	C17H25NO12
435.140714	4387604	C20H24N2O9
